
INFO | 2016-10-26 09:27:35,629 | main | <module> | START - Application started !
INFO | 2016-10-26 09:28:08,828 | main | <module> | START - Application started !
INFO | 2016-10-26 09:28:10,054 | main | route_characters | REQUEST - <Request 'http://localhost:5000/universes/u137068/characters' [GET]>
INFO | 2016-10-26 09:28:10,125 | main | route_characters | Filtered by universe: u137068
INFO | 2016-10-26 09:28:53,090 | main | <module> | START - Application started !
INFO | 2016-10-26 09:28:55,584 | main | route_characters | <Request 'http://localhost:5000/universes/u137068/characters' [GET]>
INFO | 2016-10-26 09:28:55,730 | main | route_characters | Filtered by universe: u137068
INFO | 2016-10-26 09:29:33,562 | main | <module> | START - Application started !
INFO | 2016-10-26 09:30:40,939 | main | route_character | <Request 'http://localhost:5000/universes/u137068/characters/c657945' [GET]>
INFO | 2016-10-26 09:30:41,099 | main | route_character | LOAD - Loading character #c657945 (from: data/characters/c657945.json)
INFO | 2016-10-26 09:30:51,110 | main | route_universes | <Request 'http://localhost:5000/universes' [GET]>
INFO | 2016-10-26 09:30:59,940 | main | route_universe | <Request 'http://localhost:5000/universes/u137068' [GET]>
INFO | 2016-10-26 09:30:59,951 | main | route_universe | LOAD - Loading universe #u137068 (from: data/universes/u137068.json)
INFO | 2016-10-26 09:32:00,882 | main | route_root | <Request 'http://localhost:5000/' [GET]>
INFO | 2016-10-26 09:32:30,520 | main | route_characters | <Request 'http://localhost:5000/characters' [GET]>
INFO | 2016-10-26 09:33:29,065 | main | route_characters | <Request 'http://localhost:5000/universes/u137068/characters' [GET]>
INFO | 2016-10-26 09:33:29,079 | main | route_characters | Filtered by universe: u137068
